original_index,score
0,5
1,2
2,5
3,3
4,3
5,4
6,4
7,4
8,4
9,3
10,5
11,4
12,5
13,5
14,3
15,4
16,5
17,3
18,4
19,4
20,5
21,4
22,4
23,5
24,4
25,5
26,5
27,4
28,3
29,5
30,5
31,5
32,5
33,3
34,5
35,3
36,3
37,4
38,5
39,5
40,5
41,4
42,4
43,5
44,5
45,4
46,5
47,5
48,5
49,5
50,2
51,2
52,2
53,2
54,4
55,4
56,5
57,5
58,5
59,5
60,4
61,5
62,5
63,4
64,4
65,4
66,4
67,3
68,5
69,5
70,4
71,3
72,5
73,4
74,5
75,5
76,3
77,5
78,4
79,5
80,5
81,5
82,5
83,4
84,5
85,5
86,5
87,4
88,5
89,2
90,2
91,5
92,3
93,5
94,5
95,2
96,5
97,5
98,5
99,5
100,5
101,5
102,4
103,5
104,5
105,5
106,5
107,5
108,5
109,4
110,5
111,5
112,5
113,5
114,5
115,5
116,5
117,3
118,5
119,5
120,5
121,5
122,5
123,5
124,5
125,5
126,5
127,5
128,5
129,4
130,4
131,5
132,5
133,5
134,5
135,5
136,5
137,5
138,5
139,4
140,5
141,5
142,5
143,5
144,5
145,5
146,5
147,4
148,4
149,2
150,5
151,5
152,5
153,5
154,5
155,5
156,5
157,5
158,4
159,5
160,5
161,5
162,5
163,5
164,5
165,5
166,5
167,5
168,5
169,4
170,5
171,5
172,5
173,5
174,5
175,5
176,5
177,3
178,5
179,5
180,5
181,5
182,5
183,4
184,5
185,5
186,5
187,5
188,5
189,4
190,4
191,5
192,5
193,5
194,5
195,3
196,5
197,4
198,4
199,5
200,5
201,5
202,5
203,5
204,5
205,3
206,5
207,5
208,4
209,5
210,5
211,4
212,5
213,5
214,5
215,5
216,5
217,5
218,4
219,5
220,5
221,5
222,5
223,5
224,4
225,5
226,5
227,5
228,5
229,5
230,5
231,5
232,5
233,5
234,5
235,5
236,5
237,4
238,5
239,4
240,5
241,3
242,3
243,5
244,4
245,5
246,3
247,5
248,5
249,5
250,5
251,5
252,5
253,5
254,5
255,5
256,5
257,5
258,4
259,5
260,5
261,5
262,5
263,5
264,4
265,5
266,5
267,5
268,5
269,5
270,4
271,5
272,5
273,5
274,5
275,5
276,5
277,5
278,5
279,5
280,4
281,3
282,5
283,5
284,4
285,5
286,5
287,5
288,5
289,5
290,5
291,5
292,5
293,5
294,2
295,2
296,4
297,4
298,3
299,4
300,4
301,4
302,5
303,4
304,5
305,5
306,5
307,5
308,5
309,5
310,5
311,4
312,5
313,5
314,5
315,4
316,4
317,5
318,5
319,5
320,5
321,5
322,5
323,5
324,3
325,5
326,5
327,5
328,4
329,5
330,5
331,5
332,5
333,5
334,5
335,5
336,5
337,5
338,5
339,5
340,5
341,5
342,5
343,5
344,5
345,5
346,5
347,4
348,4
349,5
